Date,Operating_Income,Expenses,Assets,Liabilities,Equity,Revenue,Cash_Flow,Net_Income,Debt_to_Equity,ROA,Profit_Margin,Interest_Expense,Tax_Expense,Dividend_Payout,Revenue_lag_1m,Revenue_rolling_6m,Revenue_rolling_12m,Revenue_YoY_Growth,Net_Income_Margin,ROA_calc,Debt_to_Equity_Rolling12,Cash_Flow_Rolling12,Operating_Efficiency
2015-11-30,161471405.97,81968571.59,8427342053.66,5904768285.58,1634769752.48,274617158.54,128551564.65,79502834.43,171.85,0.41000000000000003,12.07,32226070.77,23898768.45,45459714.2,247898086.05,256111715.89666668,,,28.950424967134687,0.9433915690590946,,,50.76
2015-12-31,161358251.74,98045050.78,8784518740.630001,6388142680.02,1375036882.43,271421147.06,133072039.45,63313200.96,201.70000000000002,0.26,8.95,31391206.64,22219632.59,50728077.0,274617158.54,261097571.10500002,257168873.76833332,,23.326554192921478,0.7207361362571281,161.38333333333333,1529126949.09,60.76
2016-01-31,170219090.07,89801948.17,8029244696.68,7000613159.3,1902264296.56,224598491.74,142945540.96,80417141.92,139.25,0.35,15.93,33384332.67,26287542.46,48126883.15,271421147.06,257318076.57833335,254779529.49833333,-11.320748890116691,35.80484503568822,1.0015530097526055,158.65,1541186187.3,52.76
2016-02-29,171986079.61,81767767.39,7205377321.84,6412253995.43,1491633449.13,208315759.53,120866575.69,90218312.21,171.67,0.6,16.32,30912243.71,21660477.34,43287293.88,224598491.74,247316050.8116667,250060689.875,-21.37302154560177,43.308443112297255,1.2520969850744945,161.005,1547408281.82,47.54
2016-03-31,170350660.65,90061775.77,8475136866.25,6584214292.66,1589465471.44,274778553.44,142430074.22,80288884.88,178.62,0.35000000000000003,11.32,34280609.44,23371007.34,44713811.07,208315759.53,250271532.7266667,251029734.2383333,4.418974512057821,29.219487429004058,0.9473461744285138,159.205,1566680280.47,52.87
2016-04-30,172913075.82999998,71623198.0,8142949989.57,6088508554.059999,1454231652.75,259067423.39,124184715.9,101289877.85,199.43,0.48,13.35,28445296.62,23681543.09,51521856.71,274778553.44,252133088.95000002,253283589.06916666,11.65680636119615,39.09788290807921,1.243896597421554,159.04666666666665,1580961448.7199998,41.42
2016-05-31,184358521.85999998,81766637.7,9209639331.68,6159739616.03,1859141068.27,244099147.92000002,127713800.36,102591884.14,171.32,0.4,17.169999999999998,32530501.61,20814917.04,47185221.94,259067423.39,247046753.84666666,251579234.87166667,-7.730917508733148,42.02877601753162,1.1139620178946295,163.65833333333333,1550466549.25,44.35
2016-06-30,191614842.06,81373536.27,9105706710.93,6750568794.440001,1581761506.33,235315581.93,117674874.4,110241305.8,208.23,0.59,17.96,29331398.04,23090769.17,45684758.6,244099147.92000002,241029159.6583333,251063365.38166666,-2.5632628070309416,46.84828131474684,1.210683687710612,169.44833333333335,1544687826.23,42.47
2016-07-31,180041675.33,93896867.65,8393496087.51,7561965404.26,1753556341.88,280498574.83,143251164.1,86144807.67,168.15,0.38,12.25,27238406.11,24734002.1,44273092.01,235315581.93,250345840.17333332,253831958.37583336,13.435670518130813,30.71131741835382,1.0263280851252004,170.73166666666668,1546655332.99,52.15
2016-08-31,125399607.37,81623333.14,9017033455.63,7237788493.68,1654868374.96,298711430.16,139298402.09,43776274.269999996,202.02,0.19,5.39,30813153.22,22482078.43,43095031.39,280498574.83,265411785.27833334,256363918.045,11.32327813470788,14.655038224199165,0.4854842170144909,173.87333333333333,1549845122.1299999,65.09
2016-09-30,155208600.9,75602187.65,8296356908.31,5560262063.14,1618633000.48,265243127.91,116839959.50999999,79606413.22,126.87,0.48,13.44,30969161.04,23196834.2,41739663.48,298711430.16,263822547.68999997,257047040.20833334,3.1891088524164877,30.01262043893984,0.9595345776441062,172.4466666666667,1541178991.6599998,48.71
2016-10-31,143739715.19,99687569.98,9325748545.68,5967176050.02,1620851006.49,291818235.31,122918714.56,44052145.24,181.53,0.2,5.32,33637983.26,25050268.580000002,38963186.96,265243127.91,269281016.3433333,260707052.64666668,17.717018295631974,15.095747938165408,0.4723711455892346,176.72,1559747425.89,69.35
2016-11-30,159161420.62,82515896.9,6449020957.7,6526350249.83,1828732814.13,259391170.20000002,134060480.91,76645523.74,154.68,0.54,9.57,33739458.04,21546971.77,47335391.96,291818235.31,271829686.7233333,259438220.285,-5.544441731517743,29.54823931782393,1.1884830929024475,175.28916666666666,1565256342.1499999,51.84
2016-12-31,167383408.04999998,80709573.27,8733063309.75,6138922503.37,1808996915.66,251385196.51,122456666.53,86673834.78,169.13,0.46,13.14,30899642.34,22888438.32,45072135.75,259391170.20000002,274507955.82,257768557.7391667,-7.381867907871928,34.47849594299884,0.9924791760439122,172.57500000000002,1554640969.23,48.22
2017-01-31,185083445.63,86920342.48,7707910409.940001,6977412117.18,1428587097.94,258318133.29999998,123946401.87,98163103.11,218.96,0.62,18.35,32445866.68,26850891.88,47048654.02,251385196.51,270811215.565,260578527.86916664,15.013298307913193,38.00085648497522,1.2735371571445668,179.2175,1535641830.14,46.96
2017-02-28,158121373.68,75695575.92,8311838506.24,5284427814.26,1487141206.19,217894783.44,133319811.66,82425797.76,133.57999999999998,0.35,15.08,30855267.39,22980361.0,45532008.86,258318133.29999998,257341774.44500002,261376779.86166668,4.59831936460885,37.82825658269922,0.991667459589355,176.04333333333332,1548095066.1100001,47.87
2017-03-31,62772039.21,25485579.4,2215914475.16,2356097157.58,410800320.88,68638214.15,43466541.160000004,37286459.82,67.47,0.27,7.3,11144434.92,8995725.95,11265373.9,217894783.44,224574288.81833336,244198418.2541667,-75.02053443010513,54.32317883229775,1.682666918690882,166.78083333333333,1449131533.05,40.6
